Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
SKQ201915S,PWS2,B,2019-06-30T19:08:25,-147.804,60.5348,738,3,3.36,24,188.6,218.2,29.6,1
SKQ201915S,PWS2,B,2019-06-30T19:04:58,-147.804,60.5348,738,3,10.26,22,241.3,293.5,52.1,1
SKQ201915S,PWS2,B,2019-06-30T19:02:56,-147.804,60.5348,738,3,20.35,20,239.6,243.8,4.2,1
SKQ201915S,PWS2,B,2019-06-30T18:58:42,-147.804,60.5348,738,3,40.72,18,71.9,70.2,-1.7,1
SKQ201915S,MID2,B,2019-07-01T23:56:50,-145.6498,60.0993,119,8,4.68,14,125.7,122.2,-3.5,1
SKQ201915S,MID2,B,2019-07-01T23:54:36,-145.6498,60.0993,119,8,9.78,11,180,217.4,37.4,1
SKQ201915S,MID2,B,2019-07-01T23:51:46,-145.6498,60.0993,119,8,20.24,9,84.4,92.6,8.2,1
SKQ201915S,MID2,B,2019-07-01T23:48:13,-145.6498,60.0993,119,8,40.08,6,43.6,38.5,-5.1,1
SKQ201915S,MID5,B,2019-07-02T21:01:51,-146.0987,59.6502,96,14,4.18,13,151.1,156.1,5.1,1
SKQ201915S,MID5,B,2019-07-02T20:59:21,-146.0987,59.6502,96,14,9.99,10,201.6,233.1,31.6,1
SKQ201915S,MID5,B,2019-07-02T20:57:19,-146.0987,59.6502,96,14,20.1,9,131.9,133.8,1.9,1
SKQ201915S,MID5,B,2019-07-02T20:53:30,-146.0987,59.6502,96,14,40.1,5,43.2,46.7,3.5,1
SKQ201915S,MID10,B,2019-07-03T19:52:28,-146.001,58.911,4464,18,4.54,19,143.4,131.6,-11.7,1
SKQ201915S,MID10,B,2019-07-03T19:50:45,-146.001,58.911,4464,18,10.29,17,162.6,166.4,3.8,1
SKQ201915S,MID10,B,2019-07-03T19:49:00,-146.001,58.911,4464,18,20.3,15,125,144.4,19.5,1
SKQ201915S,MID10,B,2019-07-03T19:45:33,-146.001,58.911,4464,18,40.61,12,40.3,59.1,18.8,1
SKQ201915S,GAK15,B,2019-07-09T19:58:34,-147.5013,57.7927,4400,35,4.12,20,208.3,234.2,26,1
SKQ201915S,GAK15,B,2019-07-09T19:55:14,-147.5013,57.7927,4400,35,8,14,191.7,218.6,26.9,1
SKQ201915S,GAK15,B,2019-07-09T19:50:41,-147.5013,57.7927,4400,35,20.45,8,93.8,182.9,89.1,1
SKQ201915S,GAK15,B,2019-07-09T19:47:34,-147.5013,57.7927,4400,35,40.49,4,69.5,205.3,135.8,1
SKQ201915S,GAK9,B,2019-07-10T19:12:52,-148.3468,58.6815,278,42,3.7,23,287.5,295,7.5,1
SKQ201915S,GAK9,B,2019-07-10T19:10:24,-148.3468,58.6815,278,42,10.25,20,278.9,267,-11.9,1
SKQ201915S,GAK9,B,2019-07-10T19:07:38,-148.3468,58.6815,278,42,20.3,17,174.3,163.1,-11.2,1
SKQ201915S,GAK9,B,2019-07-10T19:04:08,-148.3468,58.6815,278,42,40.25,14,43.3,54.4,11.1,1
SKQ201915S,GAK5,B,2019-07-12T18:59:44,-148.9085,59.2617,169,53,3.48,21,98.7,101.7,3,1
SKQ201915S,GAK5,B,2019-07-12T18:55:50,-148.9085,59.2617,169,53,10.52,13,174.8,183.2,8.4,1
SKQ201915S,GAK5,B,2019-07-12T18:53:07,-148.9085,59.2617,169,53,21.11,11,101.1,102.5,1.4,1
SKQ201915S,GAK5,B,2019-07-12T18:49:38,-148.9085,59.2617,169,53,40.66,8,54.1,78.2,24.1,1
SKQ201915S,GAK1,B,2019-07-13T19:36:45,-149.4658,59.8467,269,58,3.42,18,120.5,132.2,11.7,1
SKQ201915S,GAK1,B,2019-07-13T19:34:42,-149.4658,59.8467,269,58,10.29,17,146.3,109.5,-36.8,1
SKQ201915S,GAK1,B,2019-07-13T19:31:29,-149.4658,59.8467,269,58,20.46,13,89.9,93.6,3.7,1
SKQ201915S,GAK1,B,2019-07-13T19:28:12,-149.4658,59.8467,269,58,40.34,11,54.5,68.8,14.3,1
SKQ201915S,KOD5,B,2019-07-15T19:30:39,-150.7608,57.7868,86,60,3.68,15,266.2,262.8,-3.4,1
SKQ201915S,KOD5,B,2019-07-15T19:28:35,-150.7608,57.7868,86,60,10.79,13,265.4,308.8,43.4,1
SKQ201915S,KOD5,B,2019-07-15T19:25:09,-150.7608,57.7868,86,60,20.58,8,182.7,195.7,13,1
SKQ201915S,KOD5,B,2019-07-15T19:21:56,-150.7608,57.7868,86,60,41.25,5,55.5,58.4,2.9,1
SKQ201915S,EATJ,B,2019-07-17T05:04:41,-150.1342,56.665,4975,69,4.26,22,213.2,232.4,19.2,1
SKQ201915S,EATJ,B,2019-07-17T05:02:35,-150.1342,56.665,4975,69,9.88,19,262.4,247.6,-14.8,1
SKQ201915S,EATJ,B,2019-07-17T05:00:40,-150.1342,56.665,4975,69,20.42,16,222.4,202.5,-20,1
SKQ201915S,EATJ,B,2019-07-17T04:56:58,-150.1342,56.665,4975,69,40.7,13,56.8,56.1,-0.7,1
