Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
SKQ202012S,GAK1,B,2020-09-01T20:05:05,-149.4668,59.8445,269,2,2.58,23,108.5,108.7,0.2,1
SKQ202012S,GAK1,B,2020-09-01T19:56:44,-149.4668,59.8445,269,2,10.2,18,121.5,135.6,14.2,1
SKQ202012S,GAK1,B,2020-09-01T19:51:39,-149.4668,59.8445,269,2,20.32,15,49,53.5,4.6,1
SKQ202012S,GAK1,B,2020-09-01T19:40:28,-149.4668,59.8445,269,2,40.55,10,74,73.8,-0.2,1
SKQ202012S,GAK5,B,2020-09-03T00:15:55,-148.9042,59.2627,167,10,3.19,22,194.8,209.1,14.3,1
SKQ202012S,GAK5,B,2020-09-03T00:13:23,-148.9042,59.2627,167,10,10.17,19,213.6,235.3,21.7,1
SKQ202012S,GAK5,B,2020-09-03T00:11:13,-148.9042,59.2627,167,10,20.24,17,148.8,170.4,21.7,1
SKQ202012S,GAK5,B,2020-09-03T00:06:58,-148.9042,59.2627,167,10,40.8,13,27.1,26.1,-0.9,1
SKQ202012S,GAK9,B,2020-09-03T20:37:59,-148.3513,58.6798,275,14,3.09,15,178,209.8,31.8,1
SKQ202012S,GAK9,B,2020-09-03T20:33:51,-148.3513,58.6798,275,14,10.22,11,172.1,181.6,9.5,1
SKQ202012S,GAK9,B,2020-09-03T20:30:14,-148.3513,58.6798,275,14,20.57,9,188.3,303.9,115.6,1
SKQ202012S,GAK9,B,2020-09-03T20:22:59,-148.3513,58.6798,275,14,40.42,4,31.3,42.4,11.1,1
SKQ202012S,GAK15,B,2020-09-04T21:26:22,-147.5012,57.7922,4497,19,101.03,15,96.1,100.1,4,1
SKQ202012S,GAK15,B,2020-09-04T21:22:04,-147.5012,57.7922,4497,19,151.21,12,100,102.1,2.1,1
SKQ202012S,GAK15,B,2020-09-04T21:19:15,-147.5012,57.7922,4497,19,202.16,10,97.4,103.4,6,1
SKQ202012S,GAK15,B,2020-09-04T21:02:29,-147.5012,57.7922,4497,19,758.51,5,62.3,63.9,1.6,1
SKQ202012S,PWS2,B,2020-09-07T19:42:42,-147.8033,60.535,728,29,2.97,18,111.7,123.8,12.1,1
SKQ202012S,PWS2,B,2020-09-07T19:36:32,-147.8033,60.535,728,29,10.36,13,107.2,112,4.8,1
SKQ202012S,PWS2,B,2020-09-07T19:30:22,-147.8033,60.535,728,29,20.48,9,76.6,76.4,-0.2,1
SKQ202012S,PWS2,B,2020-09-07T19:22:11,-147.8033,60.535,728,29,40.67,5,36.1,41.7,5.5,1
