Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
TGX201904,MID2,B,2019-04-28T18:05:36,-145.6472,60.1017,119,5,9.77,11,146.7,133.2,-13.5,1
TGX201904,MID2,B,2019-04-28T18:01:45,-145.6472,60.1017,119,5,30.25,5,103.7,108.0,4.3,1
TGX201904,MID2,B,2019-04-28T17:58:45,-145.6472,60.1017,119,5,51.17,2,57.9,70.9,12.9,1
TGX201904,MID2,B,2019-04-28T17:56:43,-145.6472,60.1017,119,5,75.56,1,62.3,58.7,-3.6,1
TGX201904,PWS2,B,2019-04-30T18:34:41,-147.803,60.5362,738,23,9.05,9,780.4,984.0,203.6,1
TGX201904,PWS2,B,2019-04-30T20:04:52,-147.7983,60.5347,734,24,30.19,12,98.8,110.4,11.6,1
TGX201904,PWS2,B,2019-04-30T20:02:55,-147.7983,60.5347,734,24,50.74,9,89.1,94.1,5.1,1
TGX201904,PWS2,B,2019-04-30T18:29:26,-147.803,60.5362,738,23,76.2,1,49.6,58.8,9.3,1
TGX201904,GAK1,B,2019-05-01T18:08:05,-149.4817,59.844,270,32,10.01,10,310.1,309.3,-0.8,1
TGX201904,GAK1,B,2019-05-01T18:05:21,-149.4817,59.844,270,32,30.48,5,102.2,131.0,28.8,1
TGX201904,GAK1,B,2019-05-01T18:03:21,-149.4817,59.844,270,32,50.94,3,76.9,74.6,-2.3,1
TGX201904,GAK1,B,2019-05-01T18:02:32,-149.4817,59.844,270,32,75.83,2,47.9,59.0,11.2,1
TGX201904,GAK5,B,2019-05-02T18:01:28,-148.9305,59.2437,168,41,9.31,11,117.8,175.4,57.6,1
TGX201904,GAK5,B,2019-05-02T17:59:16,-148.9305,59.2437,168,41,30.73,5,95.0,91.7,-3.3,1
TGX201904,GAK5,B,2019-05-02T17:57:37,-148.9305,59.2437,168,41,51.04,2,66.1,65.7,-0.4,1
TGX201904,GAK5,B,2019-05-02T17:56:40,-148.9305,59.2437,168,41,76.23,1,45.5,43.3,-2.2,1
TGX201904,GAK9,B,2019-05-04T17:45:24,-148.3483,58.6763,277,50,9.77,11,167.5,153.7,-13.8,1
TGX201904,GAK9,B,2019-05-04T17:43:09,-148.3483,58.6763,277,50,28.22,4,145.1,166.1,20.9,1
TGX201904,GAK9,B,2019-05-04T17:41:57,-148.3483,58.6763,277,50,50.6,2,107.4,116.9,9.5,1
