Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
WSD201807,CS2,B,2018-07-05T23:43:22,-143.8927,59.7735,121,5,75.99,3,31.18,34.83,3.65,1
WSD201807,CS2,B,2018-07-05T23:45:20,-143.8927,59.7735,121,5,50.42,4,61.18,33.01,-28.17,1
WSD201807,CS2,B,2018-07-05T23:48:15,-143.8927,59.7735,121,5,30.28,6,65.83,56.59,-9.24,1
WSD201807,CS2,B,2018-07-05T23:50:45,-143.8927,59.7735,121,5,9.62,9,268.43,341.55,73.11,1
WSD201807,CS4,B,2018-07-06T05:30:46,-143.8953,59.4377,2010,9,40.15,10,85.04,73.27,-11.76,1
WSD201807,CS4,B,2018-07-06T05:33:07,-143.8953,59.4377,2010,9,20.11,12,132.78,121.17,-11.61,1
WSD201807,CS4,B,2018-07-06T05:34:25,-143.8953,59.4377,2010,9,9.84,14,161.74,169.31,7.57,1
WSD201807,CS4,B,2018-07-06T05:36:14,-143.8953,59.4377,2010,9,2.24,15,166.2,163.06,-3.14,1
WSD201807,MID2,B,2018-07-06T21:14:51,-145.6512,60.0998,120,14,40.21,5,43.48,38.77,-4.71,1
WSD201807,MID2,B,2018-07-06T21:17:32,-145.6512,60.0998,120,14,20.6,8,92.96,83.87,-9.09,1
WSD201807,MID2,B,2018-07-06T21:20:50,-145.6512,60.0998,120,14,9.94,12,271.76,272.54,0.78,1
WSD201807,MID2,B,2018-07-06T21:22:24,-145.6512,60.0998,120,14,1.88,13,375.83,378.47,2.64,1
WSD201807,MID5,B,2018-07-07T18:48:47,-146.1015,59.6475,95,24,39.94,4,65.16,60.72,-4.44,1
WSD201807,MID5,B,2018-07-07T18:51:43,-146.1015,59.6475,95,24,20.1,6,167.31,150.24,-17.06,1
WSD201807,MID5,B,2018-07-07T18:57:54,-146.1015,59.6475,95,24,10.44,10,235.14,243.56,8.42,1
WSD201807,MID5,B,2018-07-07T18:55:48,-146.1015,59.6475,95,24,2.36,9,181.78,182.65,0.87,1
WSD201807,PWS2,B,2018-07-09T20:08:39,-147.8035,60.5312,798,38,40.91,10,53.54,47.57,-5.97,1
WSD201807,PWS2,B,2018-07-09T20:10:55,-147.8035,60.5312,798,38,19.92,12,79.57,64.38,-15.18,1
WSD201807,PWS2,B,2018-07-09T20:12:17,-147.8035,60.5312,798,38,9.91,13,156.18,173.84,17.66,1
WSD201807,PWS2,B,2018-07-09T20:13:43,-147.8035,60.5312,798,38,2.21,15,186.23,165.66,-20.57,1
WSD201807,PWS1,B,2018-07-10T01:15:47,-147.9338,60.3788,325,39,40.26,9,46.61,49.36,2.75,1
WSD201807,PWS1,B,2018-07-10T01:17:46,-147.9338,60.3788,325,39,20.43,11,237.36,228.76,-8.59,1
WSD201807,PWS1,B,2018-07-10T01:18:55,-147.9338,60.3788,325,39,10.47,12,258.45,235.43,-23.02,1
WSD201807,PWS1,B,2018-07-10T01:20:22,-147.9338,60.3788,325,39,1.95,13,91.4,253.68,162.28,1
WSD201807,GAK5,B,2018-07-11T20:06:59,-148.9113,59.2595,167,52,40.75,7,47.61,49.58,1.97,1
WSD201807,GAK5,B,2018-07-11T20:09:53,-148.9113,59.2595,167,52,19.17,9,179.55,187.63,8.08,1
WSD201807,GAK5,B,2018-07-11T20:11:15,-148.9113,59.2595,167,52,9.75,11,162.86,164.26,1.41,1
WSD201807,GAK5,B,2018-07-11T20:13:17,-148.9113,59.2595,167,52,3.03,13,182.89,177.62,-5.27,1
WSD201807,GAK9,B,2018-07-12T18:35:05,-148.3528,58.6822,280,57,39.75,9,30.06,31.24,1.19,1
WSD201807,GAK9,B,2018-07-12T18:38:55,-148.3528,58.6822,280,57,19.93,11,86.04,95.49,9.44,1
WSD201807,GAK9,B,2018-07-12T18:41:02,-148.3528,58.6822,280,57,10.17,13,235.14,249.86,14.73,1
WSD201807,GAK9,B,2018-07-12T18:42:55,-148.3528,58.6822,280,57,2.45,15,184,192.08,8.08,1
WSD201807,GAK15,B,2018-07-13T22:05:13,-147.4967,57.7843,4543,64,40,10,87.72,81.09,-6.63,1
WSD201807,GAK15,B,2018-07-13T22:07:53,-147.4967,57.7843,4543,64,20.31,12,169.54,193.19,23.66,1
WSD201807,GAK15,B,2018-07-13T22:08:59,-147.4967,57.7843,4543,64,10.31,13,159.52,166.49,6.97,1
WSD201807,GAK15,B,2018-07-13T22:09:56,-147.4967,57.7843,4543,64,3.04,15,163.97,166.49,2.52,1
WSD201807,KOD5,B,2018-07-14T18:28:03,-150.7615,57.7862,86,66,39.33,4,216.25,242.09,25.84,1
WSD201807,KOD5,B,2018-07-14T18:31:02,-150.7615,57.7862,86,66,19.1,7,219.58,246.53,26.95,1
WSD201807,KOD5,B,2018-07-14T18:33:07,-150.7615,57.7862,86,66,10.16,9,290.61,269.84,-20.78,1
WSD201807,KOD5,B,2018-07-14T18:34:32,-150.7615,57.7862,86,66,2.42,11,214.03,239.87,25.84,1
WSD201807,KOD10,B,2018-07-16T18:51:56,-149.7237,57.2017,2503,76,38.51,9,96.09,82.28,-13.81,1
WSD201807,KOD10,B,2018-07-16T18:53:28,-149.7237,57.2017,2503,76,30.71,11,278.42,97.97,-180.45,1
WSD201807,KOD10,B,2018-07-16T18:57:11,-149.7237,57.2017,2503,76,9.9,14,111.59,121.92,10.33,1
WSD201807,KOD10,B,2018-07-16T18:58:19,-149.7237,57.2017,2503,76,2.1,15,117.17,127.5,10.33,1
