Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Speed_[knots],Course_[degrees_true],Heading_[degree],Roll_[degree],Pitch_[degree],Heave,Atmos_Pressure_[hPa],Air_Temperature_[C],Relative_Humidity_[%],Wind_Dir_[degrees_true],Wind_Speed_[knots],Longwave_Downwelling_[W/m2],Shortwave_Downwelling_[W/m2],PAR_[uE/m2/s]
SKQ202010S,TSG,2020-07-02T17:21:00Z,-149.3856,60.052,210.73,9.9,151.64,150.89,0.58,0.19,-0.0,1019.03,18.9,38.7,12.9,17.2,360.37,454.06,1741.06
SKQ202010S,TSG,2020-07-02T17:22:00Z,-149.383,60.0496,233.53,9.9,150.79,150.22,0.56,0.19,0.0,1019.01,19.0,38.3,8.9,16.6,360.72,458.59,1750.53
SKQ202010S,TSG,2020-07-02T17:23:00Z,-149.3803,60.0472,265.81,9.9,151.07,150.46,0.59,0.19,-0.0,1019.0,18.9,39.8,4.2,16.5,360.38,461.43,1755.47
SKQ202010S,TSG,2020-07-02T17:24:00Z,-149.3776,60.0448,291.83,9.9,150.37,150.13,0.53,0.19,0.0,1019.0,18.8,40.5,1.2,16.7,360.02,462.24,1749.65
SKQ202010S,TSG,2020-07-02T17:25:00Z,-149.375,60.0424,292.59,9.9,151.1,150.75,0.49,0.19,0.0,1019.0,18.7,40.8,359.8,16.1,360.11,461.21,1745.65
SKQ202010S,TSG,2020-07-02T17:26:00Z,-149.3723,60.04,292.36,9.9,150.82,150.56,0.44,0.19,-0.0,1019.0,18.7,40.8,355.6,15.5,360.53,463.4,1741.72
SKQ202010S,TSG,2020-07-02T17:27:00Z,-149.3697,60.0377,292.21,9.8,150.56,150.35,0.38,0.18,0.0,1019.03,18.7,41.6,351.4,15.8,360.76,466.53,1744.04
SKQ202010S,TSG,2020-07-02T17:28:00Z,-149.367,60.0353,292.36,9.8,150.32,150.24,0.37,0.18,0.01,1019.08,18.6,43.3,350.3,13.5,360.59,474.02,1757.6
SKQ202010S,TSG,2020-07-02T17:29:00Z,-149.3644,60.0329,292.33,9.7,152.6,152.97,0.2,0.17,0.0,1019.08,18.0,50.9,356.2,12.5,359.16,376.46,1418.74
SKQ202010S,TSG,2020-07-02T17:30:00Z,-149.3622,60.0307,292.19,8.2,155.14,154.65,0.35,0.16,-0.0,1019.0,17.5,50.9,353.2,13.1,357.38,188.74,792.89
