Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Temperature_[C],Conductivity_[S/m],Salinity_[psu],Sound_Speed_[m/s],Nitrate_[uM],Temperature_UNCSW_[C],Flow_Speed_[m/s],Volume_Flow_[l/min],Chlorophyll_a_[ug/l]
SKQ202010S,TSG,2020-07-02T17:21:00Z,-149.3856,60.052,210.73,NaN,3.8623,24.7441,1522.481,NaN,12.0984,0.17,1.79,1.63
SKQ202010S,TSG,2020-07-02T17:22:00Z,-149.383,60.0496,233.53,14.6175,3.6061,29.1743,1498.357,NaN,12.136,0.21,2.25,1.71
SKQ202010S,TSG,2020-07-02T17:23:00Z,-149.3803,60.0472,265.81,12.7086,3.5074,29.6729,1492.9,NaN,12.0844,0.23,2.41,1.71
SKQ202010S,TSG,2020-07-02T17:24:00Z,-149.3776,60.0448,291.83,12.6628,3.5064,29.6999,1492.777,NaN,12.0419,0.24,2.53,1.74
SKQ202010S,TSG,2020-07-02T17:25:00Z,-149.375,60.0424,292.59,12.6916,3.5238,29.8402,1493.041,NaN,12.0926,0.23,2.47,1.74
SKQ202010S,TSG,2020-07-02T17:26:00Z,-149.3723,60.04,292.36,12.7621,3.5447,29.9804,1493.447,NaN,12.1224,0.23,2.48,1.68
SKQ202010S,TSG,2020-07-02T17:27:00Z,-149.3697,60.0377,292.21,12.7627,3.5488,30.0187,1493.494,NaN,12.2058,0.23,2.47,1.66
SKQ202010S,TSG,2020-07-02T17:28:00Z,-149.367,60.0353,292.36,12.7951,3.5462,29.9683,1493.544,NaN,12.3188,0.25,2.6,1.66
SKQ202010S,TSG,2020-07-02T17:29:00Z,-149.3644,60.0329,292.33,12.8117,3.5458,29.9513,1493.581,NaN,12.3757,0.3,3.16,1.67
SKQ202010S,TSG,2020-07-02T17:30:00Z,-149.3622,60.0307,292.19,12.8704,3.5345,29.7995,1493.6,NaN,12.3984,0.31,3.24,1.64
SKQ202010S,TSG,2020-07-02T17:31:00Z,-149.3605,60.0288,292.67,13.0459,3.5426,29.7369,1494.12,NaN,12.3895,0.07,0.73,1.64
SKQ202010S,TSG,2020-07-02T17:32:00Z,-149.359,60.0273,293.21,13.2231,3.5491,29.659,1494.625,NaN,12.3052,0.07,0.72,1.64
SKQ202010S,TSG,2020-07-02T17:33:00Z,-149.3579,60.0259,293.88,13.3401,3.5448,29.5284,1494.863,NaN,12.2358,0.07,0.72,1.65
SKQ202010S,TSG,2020-07-02T17:34:00Z,-149.3569,60.0249,294.17,13.409,3.5403,29.4336,1494.983,NaN,12.1877,0.07,0.76,1.65
SKQ202010S,TSG,2020-07-02T17:35:00Z,-149.3563,60.0244,293.89,13.5055,3.5438,29.3918,1495.256,NaN,12.1701,0.07,0.77,1.64
SKQ202010S,TSG,2020-07-02T17:36:00Z,-149.3562,60.0241,294.18,13.6413,3.553,29.3723,1495.686,NaN,12.272,0.05,0.56,1.56
SKQ202010S,TSG,2020-07-02T17:37:00Z,-149.3563,60.0239,293.13,13.7075,3.5652,29.4333,1495.978,NaN,12.1665,0.06,0.59,1.57
SKQ202010S,TSG,2020-07-02T17:38:00Z,-149.3566,60.0237,293.5,13.1626,3.5302,29.5309,1494.269,NaN,12.1349,0.08,0.82,1.64
SKQ202010S,TSG,2020-07-02T17:39:00Z,-149.3569,60.0236,294.25,12.8232,3.5277,29.7727,1493.408,NaN,12.1848,0.08,0.8,1.63
SKQ202010S,TSG,2020-07-02T17:40:00Z,-149.3573,60.0234,293.53,12.8108,3.5317,29.8201,1493.422,NaN,12.2271,0.08,0.84,1.61
SKQ202010S,TSG,2020-07-02T17:41:00Z,-149.3576,60.0231,294.35,12.8671,3.5315,29.7739,1493.559,NaN,12.1714,0.23,2.45,1.61
SKQ202010S,TSG,2020-07-02T17:42:00Z,-149.3578,60.0228,294.32,12.8136,3.518,29.6894,1493.277,NaN,12.0247,0.4,4.28,1.56
SKQ202010S,TSG,2020-07-02T17:43:00Z,-149.3578,60.0226,294.06,12.9997,3.5275,29.6326,1493.84,NaN,11.9489,0.4,4.28,1.54
SKQ202010S,TSG,2020-07-02T17:44:00Z,-149.3574,60.0225,294.54,13.2482,3.5495,29.6433,1494.69,NaN,11.9778,0.4,4.28,1.56
SKQ202010S,TSG,2020-07-02T17:45:00Z,-149.3572,60.0228,294.16,13.2121,3.5653,29.8184,1494.775,NaN,12.0043,0.22,2.33,1.62
SKQ202010S,TSG,2020-07-02T17:46:00Z,-149.3572,60.023,295.08,13.2634,3.5802,29.9161,1495.063,NaN,11.9266,0.09,0.93,1.67
SKQ202010S,TSG,2020-07-02T17:47:00Z,-149.3573,60.0232,293.52,13.2634,3.5932,30.0368,1495.205,NaN,11.9796,0.09,0.94,1.69
SKQ202010S,TSG,2020-07-02T17:48:00Z,-149.3573,60.0232,293.55,13.2473,3.5988,30.1015,1495.228,NaN,12.0774,0.09,0.92,1.72
SKQ202010S,TSG,2020-07-02T17:49:00Z,-149.3573,60.0232,293.95,13.2841,3.6023,30.1049,1495.355,NaN,12.0133,0.08,0.83,1.75
SKQ202010S,TSG,2020-07-02T17:50:00Z,-149.3573,60.0232,293.59,13.3987,3.6112,30.0969,1495.729,NaN,11.8757,0.08,0.87,1.77
SKQ202010S,TSG,2020-07-02T17:51:00Z,-149.3573,60.0232,293.77,13.4607,3.6187,30.1171,1495.96,NaN,11.9725,0.09,0.93,1.77
SKQ202010S,TSG,2020-07-02T17:52:00Z,-149.3573,60.0232,293.75,13.4682,3.6141,30.0689,1495.928,NaN,12.3133,0.17,1.77,1.72
SKQ202010S,TSG,2020-07-02T17:53:00Z,-149.3573,60.0232,293.84,13.453,3.5953,29.9068,1495.687,NaN,12.3471,0.1,1.1,1.51
SKQ202010S,TSG,2020-07-02T17:54:00Z,-149.3573,60.0232,293.55,13.5389,3.6062,29.9404,1496.013,NaN,12.167,0.07,0.77,1.51
SKQ202010S,TSG,2020-07-02T17:55:00Z,-149.3573,60.0232,293.65,13.5406,3.619,30.0574,1496.156,NaN,11.9175,0.07,0.77,1.51
SKQ202010S,TSG,2020-07-02T17:56:00Z,-149.3573,60.0232,293.85,13.5064,3.6148,30.0458,1496.028,NaN,12.2828,0.08,0.83,1.51
SKQ202010S,TSG,2020-07-02T17:57:00Z,-149.3573,60.0232,293.81,13.5543,3.5791,29.679,1495.756,NaN,12.4124,0.09,0.9,1.54
SKQ202010S,TSG,2020-07-02T17:58:00Z,-149.3573,60.0232,293.91,13.6844,3.5653,29.4519,1495.922,NaN,12.3599,0.14,1.44,1.56
SKQ202010S,TSG,2020-07-02T17:59:00Z,-149.3573,60.0232,293.83,12.876,3.4887,29.3677,1493.104,NaN,12.3915,0.32,3.42,1.55
SKQ202010S,TSG,2020-07-02T18:00:00Z,-149.3573,60.0232,293.72,12.7091,3.4588,29.2168,1492.362,NaN,11.8166,0.33,3.45,1.57
SKQ202010S,TSG,2020-07-02T18:01:00Z,-149.3573,60.0232,293.92,12.1542,3.5083,30.1235,1491.535,NaN,11.6438,0.32,3.43,1.64
SKQ202010S,TSG,2020-07-02T18:02:00Z,-149.3573,60.0232,293.97,11.9852,3.5061,30.2376,1491.088,NaN,11.467,0.32,3.42,2.0
SKQ202010S,TSG,2020-07-02T18:03:00Z,-149.3573,60.0232,293.9,11.8239,3.5152,30.4565,1490.79,NaN,11.671,0.32,3.36,2.05
SKQ202010S,TSG,2020-07-02T18:04:00Z,-149.3573,60.0232,293.89,12.0094,3.5,30.1617,1491.08,NaN,12.3573,0.32,3.34,2.1
SKQ202010S,TSG,2020-07-02T18:05:00Z,-149.3573,60.0232,294.05,12.5993,3.453,29.2481,1492.024,NaN,12.1176,0.32,3.35,1.93
SKQ202010S,TSG,2020-07-02T18:06:00Z,-149.3573,60.0232,293.47,12.3818,3.487,29.7405,1491.863,NaN,11.5752,0.31,3.33,1.62
SKQ202010S,TSG,2020-07-02T18:07:00Z,-149.3573,60.0232,293.73,11.9151,3.5202,30.4296,1491.074,NaN,11.5664,0.31,3.3,1.69
SKQ202010S,TSG,2020-07-02T18:08:00Z,-149.3573,60.0232,293.83,11.8903,3.5168,30.4176,1490.974,NaN,11.6883,0.31,3.27,1.97
SKQ202010S,TSG,2020-07-02T18:09:00Z,-149.3573,60.0232,293.71,12.0035,3.5032,30.1961,1491.101,NaN,11.6542,0.31,3.29,2.04
SKQ202010S,TSG,2020-07-02T18:10:00Z,-149.3573,60.0232,293.98,11.9493,3.5144,30.3476,1491.094,NaN,11.8149,0.3,3.23,2.02
SKQ202010S,TSG,2020-07-02T18:11:00Z,-149.3573,60.0232,293.98,12.1162,3.4896,29.9764,1491.228,NaN,12.3418,0.3,3.23,1.96
SKQ202010S,TSG,2020-07-02T18:12:00Z,-149.3573,60.0232,294.0,12.5886,3.4543,29.2681,1492.011,NaN,12.4339,0.3,3.22,1.99
SKQ202010S,TSG,2020-07-02T18:13:00Z,-149.3573,60.0232,293.99,12.6926,3.4532,29.1775,1492.259,NaN,12.4925,0.3,3.2,1.77
SKQ202010S,TSG,2020-07-02T18:14:00Z,-149.3573,60.0232,293.82,12.7581,3.4494,29.0913,1492.381,NaN,12.5334,0.3,3.22,1.59
SKQ202010S,TSG,2020-07-02T18:15:00Z,-149.3573,60.0232,293.74,12.8009,3.4484,29.0492,1492.476,NaN,12.4739,0.31,3.24,1.52
SKQ202010S,TSG,2020-07-02T18:16:00Z,-149.3573,60.0232,293.85,12.7552,3.4537,29.1333,1492.42,NaN,12.5229,0.3,3.21,1.47
SKQ202010S,TSG,2020-07-02T18:17:00Z,-149.3573,60.0232,294.14,12.7998,3.4503,29.0674,1492.494,NaN,12.5943,0.3,3.15,1.45
SKQ202010S,TSG,2020-07-02T18:18:00Z,-149.3573,60.0232,293.7,12.8644,3.4459,28.9766,1492.607,NaN,12.5334,0.29,3.13,1.46
SKQ202010S,TSG,2020-07-02T18:19:00Z,-149.3573,60.0232,293.99,12.8208,3.4541,29.0866,1492.589,NaN,12.575,0.36,3.76,1.43
